code,name
3831,Mangamuka
3832,Karikari Peninsula
3833,Kawakawa
3834,Omapere
3835,Kaikohe West
3836,Otahuhu
3837,Clevedon
3838,Parnell
3839,Waiuku
3840,Matakana
3841,Kaipara Flats
3842,Warkworth
3843,South Head
3844,Piha
3845,Waipoua
3846,Dargaville
3847,Tangiteroria
3848,Kaiwaka
3849,Topuni
3850,Paeroa
3851,Kaihere
3852,Ngatea
3853,Hauraki Surrounds
3854,Coromandel
3856,Tairua
3857,Hikuai
3858,Whitianga
3859,Tuateawa
3860,Te Kouma
3861,Te Mata
3862,Waiomu
3863,Whangapoua
3864,Cooks Beach
3865,Kuaotunu
3867,Turua
3868,Bruce Bay
3869,Haast
3870,Ross
3871,Harihari
3872,Franz Josef Glacier
3873,Hokitika
3874,Kaniere
3875,Kumara
3876,Whataroa
3877,Gore
3878,Oreti Beach
3879,Otatara
3880,Bluff
3881,Awarua
3882,Waimatua
3883,Invercargill
3884,Clifton
3885,Tisbury
3886,Mill Road
3887,Myross Bush
3888,Roslyn Bush
3889,Lorneville
3890,Whangape
3891,Port Waikato
3892,Te Anau Surrounds
3893,Lumsden Surrounds
3894,Stewart Island
3895,Orepuki
3896,Nightcaps
3897,Ohai
3898,Otautau
3899,Thornbury
3900,Wallacetown
3901,Tuatapere
3902,Mossburn
3903,Manapouri
3904,Riversdale
3905,Taieri Mouth
3906,Waihola
3907,Milton
3908,Kaitangata
3909,Kaka Point
3910,Balclutha
3911,Papatowai/Pounawea
3912,Owaka
3913,Clinton and Surrounds
3914,Henley
3915,Brighton
3916,Warrington
3917,Waikouaiti
3918,Purakaunui
3919,Normanby
3920,Harington Point
3921,Portobello
3922,Company Bay
3923,Saint Kilda
3924,Outram
3925,Allanton
3926,Mosgiel
3928,Hyde
3929,Omarama
3930,Lake Ohau
3931,Otematata
3932,Kurow
3933,Duntroon
3934,Moeraki
3935,Palmerston
3936,Herbert
3937,Maheno
3938,Oamaru
3939,Enfield and Surrounds
3940,Weston
3941,Five Forks and Surrounds
3942,Kawerau
3943,Waihau Bay
3944,Opotiki Coastal
3946,Opotiki and Surrounds
3947,Matata
3948,Ohope
3949,Whakatane
3950,Murupara Surrounds
3951,Waimana
3952,Te Teko
3953,Welcome Bay
3954,Papamoa
3955,Te Puke
3956,Kaimai
3957,Waihi Beach
3958,Athenree
3959,Katikati
3961,Ngongotaha
3962,Reporoa and Surrounds
3963,Horohoro
3964,Whakarewarewa
3965,Rerewhakaaitu
3966,Rotoiti Forest
3967,Nuhaka/Morere
3968,Wairoa
3969,Tuai/Ohuka
3970,Kotemaori
3971,Elsthorpe
3972,Otane
3973,Waipukurau and Surrounds
3974,Te Haroto
3975,Tutira
3976,Eskdale
3977,Puketitiri
3978,Te Awanga
3979,Havelock North
3980,Waimarama
3981,Poukawa
3982,Maraekakaho
3983,Ongaonga
3984,Napier Hill
3985,Westshore
3986,Napier Central
3987,Puketapu
3988,Poraiti
3989,Avenues
3990,Hicks Bay
3991,Ruatoria and Surrounds
3992,Tokomaru Bay
3993,Tolaga Bay
3994,Matawai
3995,Ngatapa
3996,Muriwai
3997,Te Karaka
3998,Awapuni
3999,Stratford
4000,Douglas
4001,Tahora
4002,Pohokura and Surrounds
4003,Midhirst
